Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Inter DTVM;2021-11-11;2022-11-07;0,1072;0,103;0,119479762531695;996,26674681;450,0;12,0;LCA;PRE;OK
Itau Corretora;2021-11-11;2023-05-15;0,99;0,96;0,121648253007032;994,86205931;380,0;18,0;LCA;POS;OK
Guide;2021-11-11;2022-11-11;0,98;0,94;0,119479762531695;995,49653793;124,0;12,0;LCA;POS;OK
Guide;2021-11-11;2022-11-11;0,1072;0,1042;0,119479762531695;997,29046243;120,0;12,0;LCA;PRE;OK
Guide;2021-11-11;2022-11-11;0,1072;0,1062;0,119479762531695;999,09682081;50,0;12,0;LCA;PRE;OK
Guide;2021-11-11;2023-11-14;1,0;0,96;0,120261821180868;990,95809685;190,0;24,0;LCA;POS;OK
Guide;2021-11-11;2023-11-14;0,1103;0,1073;0,120261821180868;994,60335578;20,0;24,0;LCA;PRE;OK
Nu Invest;2021-11-11;2022-11-07;0,1072;0,1042;0,119479762531695;997,33341357;465,0;12,0;LCA;PRE;OK
Nu Invest;2021-11-11;2023-05-15;0,11;0,1074;0,121648253007032;996,49781803;322,0;18,0;LCA;PRE;OK
Andbank;2021-11-11;2022-11-07;0,1072;0,1047;0,119479762531695;997,77785262;80,0;12,0;LCA;PRE;OK
XP Investimentos;2021-11-11;2022-11-11;0,1072;0,106;0,119479762531695;998,91618497;173,0;12,0;LCA;PRE;OK
XP Investimentos;2021-11-11;2022-11-11;0,1072;0,102;0,119479762531695;995,30346821;360,0;12,0;LCA;PRE;OK
XP Investimentos;2021-11-11;2023-11-13;0,1103;0,109;0,120261821180868;997,66429955;169,0;24,0;LCA;PRE;OK
XP Investimentos;2021-11-11;2023-11-13;0,1103;0,104;0,120261821180868;988,70623693;100,0;24,0;LCA;PRE;OK
XP Investimentos;2021-11-11;2024-11-11;0,1083;0,102;0,117735273572137;983,06584655;50,0;36,0;LCA;PRE;OK
XP Investimentos;2021-11-11;2022-11-11;0,98;0,93;0,119479762531695;994,37383236;75,0;12,0;LCA;POS;OK
XP Investimentos;2021-11-11;2022-11-11;0,98;0,97;0,119479762531695;998,87223568;345,0;12,0;LCA;POS;OK
XP Investimentos;2021-11-11;2023-11-13;1,0;0,99;0,120261821180868;997,73632945;200,0;24,0;LCA;POS;OK
XP Investimentos;2021-11-11;2023-11-13;1,0;0,97;0,120261821180868;993,22431893;80,0;24,0;LCA;POS;OK
XP Investimentos;2021-11-11;2025-11-10;1,01;1,0;0,116149300118437;995,6239045;100,0;48,0;LCA;POS;OK
BTG Pactual Digital;2021-11-11;2022-11-11;0,1072;0,1022;0,119479762531695;995,48410405;50,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-11;2022-11-11;0,1072;0,1062;0,119479762531695;999,09682081;50,0;12,0;LCA;PRE;OK
Modal Mais;2021-11-11;2023-11-03;0,1103;0,1041;0,120261821180868;989,01685672;57,0;24,0;LCA;PRE;OK
