Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;CDI +;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Indexador;Batimento PU
Inter DTVM;2021-11-18;2022-11-14;0,1046;0,1005;-0,002;0,118833770448748;0,0;350,0;12,0;LCA;PRE;PRE;REVALIDAR
Itau Corretora;2021-11-18;2023-05-22;0,99;0,96;-0,0015;0,121454154232293;994,85621038;108,0;18,0;LCA;% CDI;POS;OK
Nu Invest;2021-11-18;2022-11-14;0,1046;0,1016;-0,002;0,118833770448748;0,0;200,0;12,0;LCA;PRE;PRE;REVALIDAR
Nu Invest;2021-11-18;2023-05-22;0,1078;0,1052;-0,0015;0,121454154232293;0,0;51,0;18,0;LCA;PRE;PRE;REVALIDAR
Nu Invest;2021-11-18;2023-11-20;0,1088;0,1058;0,0;0,120772554991264;0,0;100,0;24,0;LCA;PRE;PRE;REVALIDAR
XP Investimentos;2021-11-18;2022-11-18;0,1046;0,1035;-0,002;0,118833770448748;0,0;150,0;12,0;LCA;PRE;PRE;REVALIDAR
XP Investimentos;2021-11-18;2022-11-18;0,1046;0,102;-0,002;0,118833770448748;0,0;50,0;12,0;LCA;PRE;PRE;REVALIDAR
XP Investimentos;2021-11-18;2022-11-18;0,1046;0,0995;-0,002;0,118833770448748;0,0;50,0;12,0;LCA;PRE;PRE;REVALIDAR
XP Investimentos;2021-11-18;2023-11-20;0,1088;0,1025;0,0;0,120772554991264;0,0;50,0;24,0;LCA;PRE;PRE;REVALIDAR
XP Investimentos;2021-11-18;2022-11-18;0,98;0,97;-0,002;0,118833770448748;998,87799888;247,0;12,0;LCA;% CDI;POS;OK
XP Investimentos;2021-11-18;2022-11-18;0,98;0,93;-0,002;0,118833770448748;994,40251939;50,0;12,0;LCA;% CDI;POS;OK
XP Investimentos;2021-11-18;2023-11-20;1,0;0,99;0,0;0,120772554991264;997,72725619;50,0;24,0;LCA;% CDI;POS;OK
Andbank;2021-11-18;2022-11-14;0,98;0,94;-0,002;0,118833770448748;995,57273418;50,0;12,0;LCA;% CDI;POS;OK
Andbank;2021-11-18;2022-11-14;0,1046;0,1021;-0,002;0,118833770448748;0,0;319,0;12,0;LCA;PRE;PRE;REVALIDAR
Órama;2021-11-18;2022-11-14;0,1046;0,1016;-0,002;0,118833770448748;0,0;79,0;12,0;LCA;PRE;PRE;REVALIDAR
