Data Referência;Agrupador;Boleto;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI Ref;PU;Quantidade;Contraparte;Indexador;Produto;A termo;DC;__dataref_inicio;__dataref_fim;__buscarporagrupador;__agrupador;__publication_id
2021-10-25T00:00:00;;RF2021188956;2021-10-25T00:00:00;2024-10-25T00:00:00;0,1163;0,1163;;1000,0;150,0;Itau Private;PRE;LCA;;1096,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021188986;2021-10-25T00:00:00;2023-10-16T00:00:00;0,114;0,112;;996,46940181;50,0;Daycoval;PRE;LCA;;721,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021188988;2021-10-25T00:00:00;2022-10-21T00:00:00;0,106;0,104;;998,20602059;200,0;Daycoval;PRE;LCA;;361,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021188987;2021-10-25T00:00:00;2023-10-16T00:00:00;0,114;0,112;;996,46940181;50,0;Daycoval;PRE;LCA;;721,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189008;2021-10-25T00:00:00;2022-10-20T00:00:00;1,0;0,98;0,109014018991587;997,95770871;65,0;Andbank;% CDI;LCA;;360,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189017;2021-10-25T00:00:00;2022-10-20T00:00:00;0,106;0,1035;;997,76648159;79,0;Andbank;PRE;LCA;;360,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189019;2021-10-25T00:00:00;2023-10-16T00:00:00;0,114;0,1115;;995,5877121;116,0;Andbank;PRE;LCA;;721,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189020;2021-10-25T00:00:00;2024-10-09T00:00:00;0,1163;0,1138;;993,40246576;220,0;Andbank;PRE;LCA;;1080,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189024;2021-10-25T00:00:00;2022-10-21T00:00:00;0,106;0,104;;998,20602059;50,0;Daycoval;PRE;LCA;;361,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189015;2021-10-25T00:00:00;2022-10-21T00:00:00;0,106;0,101;;995,51500309;400,0;Inter DTVM;PRE;LCA;;361,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189016;2021-10-25T00:00:00;2023-10-25T00:00:00;0,114;0,11;;992,84573641;200,0;Inter DTVM;PRE;LCA;;730,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189018;2021-10-25T00:00:00;2025-10-27T00:00:00;0,1151;0,1115;;987,14876127;150,0;Inter DTVM;PRE;LCA;;1463,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189025;2021-10-25T00:00:00;2024-10-09T00:00:00;0,1163;0,1143;;994,71966273;80,0;Daycoval;PRE;LCA;;1080,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189052;2021-10-25T00:00:00;2023-10-25T00:00:00;0,114;0,1135;;999,10431527;100,0;BTG Pactual WM;PRE;LCA;;730,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189032;2021-10-25T00:00:00;2023-10-25T00:00:00;0,114;0,113;;998,20903105;50,0;BTG Pactual WM;PRE;LCA;;730,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189007;2021-10-25T00:00:00;2022-10-21T00:00:00;0,106;0,102;;996,412015;100,0;Nu Invest;PRE;LCA;;361,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189009;2021-10-25T00:00:00;2023-04-26T00:00:00;0,1109;0,1069;;994,618075;50,0;Nu Invest;PRE;LCA;;548,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189010;2021-10-25T00:00:00;2023-10-25T00:00:00;0,114;0,11;;992,845736;150,0;Nu Invest;PRE;LCA;;730,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189012;2021-10-25T00:00:00;2024-10-25T00:00:00;0,1163;0,11;;989,288674;50,0;Nu Invest;PRE;LCA;;1096,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189013;2021-10-25T00:00:00;2025-10-27T00:00:00;0,1151;0,1111;;985,728531;50,0;Nu Invest;PRE;LCA;;1463,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189002;2021-10-25T00:00:00;2024-10-24T00:00:00;0,1163;0,1148;;995,97955431;50,0;Ágora;PRE;LCA;;1095,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189003;2021-10-25T00:00:00;2022-10-25T00:00:00;0,106;0,1035;;997,73960217;1460,0;Ágora;PRE;LCA;;365,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189004;2021-10-25T00:00:00;2023-10-25T00:00:00;0,114;0,1114;;995,34681295;530,0;Ágora;PRE;LCA;;730,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189005;2021-10-25T00:00:00;2023-04-25T00:00:00;0,1109;0,1083;;996,50991956;110,0;Ágora;PRE;LCA;;547,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189006;2021-10-25T00:00:00;2024-10-24T00:00:00;0,1163;0,1138;;993,30524881;50,0;Ágora;PRE;LCA;;1095,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189023;2021-10-25T00:00:00;2022-01-24T00:00:00;0,0855;0,0795;;998,61527477;150,0;XP Investimentos;PRE;CDB;;91,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189026;2021-10-25T00:00:00;2022-04-25T00:00:00;0,097;0,091;;997,30492859;50,0;XP Investimentos;PRE;CDB;;182,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189027;2021-10-25T00:00:00;2022-10-25T00:00:00;0,1093;0,1035;;994,7714775;110,0;XP Investimentos;PRE;CDB;;365,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189028;2021-10-25T00:00:00;2022-10-25T00:00:00;0,106;0,105;;999,09584086;927,0;XP Investimentos;PRE;LCA;;365,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189030;2021-10-25T00:00:00;2022-10-25T00:00:00;0,106;0,102;;996,38336347;350,0;XP Investimentos;PRE;LCA;;365,0;20211025;20211025;N;;399
2021-10-25T00:00:00;;RF2021189031;2021-10-25T00:00:00;2022-10-25T00:00:00;0,106;0,101;;995,47920433;200,0;XP Investimentos;PRE;LCA;;365,0;20211025;20211025;N;;399
