Contraparte;Emissão;Vencimento;Taxa Distribuidor;Taxa Cliente;DI_ref;PU_tesouraria;Quantidade;Prazo;Produto;Indexador;Batimento PU
Itau Corretora;2021-11-30;2023-06-01;0,1071;0,1043;0,118825556553612;996,20870446;61,0;18,0;LCA;PRE;OK
Nu Invest;2021-11-30;2022-11-28;0,1054;0,1024;0,117628973093064;997,30756056;142,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-30;2022-11-30;0,1054;0,1004;0,117628973093064;995,4767505;50,0;12,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-30;2023-05-30;0,1071;0,1021;0,118825556553612;993,26888127;50,0;18,0;LCA;PRE;OK
BTG Pactual Digital;2021-11-30;2022-03-02;0,0005;0,0005;0,0983221470262483;1000,0;1,0;3,0;CDB;CDI +;OK
XP Investimentos;2021-11-30;2022-11-30;0,1054;0,104;0,117628973093064;998,73349014;200,0;12,0;LCA;PRE;OK
XP Investimentos;2021-11-30;2022-11-30;0,1054;0,1;0,117628973093064;995,11489054;383,0;12,0;LCA;PRE;OK
XP Investimentos;2021-11-30;2023-11-30;0,1073;0,101;0,117273498601597;988,67572576;100,0;24,0;LCA;PRE;OK
XP Investimentos;2021-11-30;2022-11-30;0,98;0,97;0,117628973093064;998,88875645;353,0;12,0;LCA;% CDI;OK
XP Investimentos;2021-11-30;2023-11-30;1,0;0,95;0,117273498601597;988,99617105;50,0;24,0;LCA;% CDI;OK
